Lunes,Martes,Miercoles,Jueves,Viernes,Sabado
4:00,4:00,4:00,4:00,4:00,4:00
4:12,4:11,4:21,4:16,4:12,4:24
4:25,4:28,4:42,4:28,4:28,4:58
4:37,4:39,5:01,4:44,4:40,5:30
4:56,4:53,5:17,4:59,4:48,5:50
5:13,5:09,5:35,5:13,4:57,6:22
5:27,5:21,5:52,5:31,5:13,6:49
5:38,5:34,6:13,5:44,5:22,7:21
5:58,5:50,6:33,6:02,5:37,7:43
6:17,6:06,6:48,6:18,5:46,8:16
6:32,6:20,7:09,6:32,5:53,8:37
6:43,6:33,7:26,6:49,6:08,9:10
6:57,6:46,7:41,7:07,6:16,9:37
7:13,7:01,8:00,7:28,6:26,10:09
7:27,7:14,8:19,7:42,6:35,10:35
7:40,7:31,8:39,7:55,6:43,10:56
7:55,7:42,8:55,8:13,6:51,11:30
8:11,7:56,9:14,8:27,6:59,12:04
8:31,8:11,9:33,8:46,7:15,12:30
8:46,8:22,9:49,8:59,7:24,13:00
9:05,8:37,10:04,9:20,7:35,13:26
9:25,8:51,10:24,9:37,7:47,13:51
9:40,9:07,10:44,9:55,7:59,14:21
9:55,9:18,11:02,10:14,8:11,14:45
10:11,9:34,11:19,10:36,8:26,15:19
10:22,9:46,11:41,10:48,8:39,15:39
10:39,10:01,12:02,11:08,8:54,16:02
10:57,10:16,12:21,11:29,9:04,16:34
11:12,10:30,12:39,11:43,9:13,17:02
11:23,10:42,13:00,12:01,9:29,17:24
11:37,10:58,13:20,12:22,9:44,17:45
11:48,11:11,13:39,12:36,9:59,18:20
12:00,11:22,13:54,12:57,10:16,18:43
12:14,11:38,14:11,13:15,10:31,19:13
12:27,11:49,14:27,13:29,10:39,19:40
12:40,12:01,14:44,13:47,10:53,20:05
12:50,12:16,15:03,14:06,11:01,20:28
13:02,12:31,15:18,14:21,11:08,20:53
13:13,12:42,15:34,14:42,11:18,21:21
13:31,12:53,15:56,15:02,11:33,21:53
13:43,13:09,16:16,15:23,11:42,22:20
13:59,13:21,16:36,15:37,11:50,22:43
14:12,13:35,16:52,15:58,12:06,23:06
14:23,13:52,17:08,16:17,12:23,23:40